Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30.0,-1.25
Query 2,1,10.0,0
Query 3,3,30.0,-3.25
Query 4,2,20.0,-39.0
Query 5,1,10.0,0
Query 6,6,60.0,-1.942857142857143
Query 7,4,40.0,-5.7
Query 8,2,20.0,-52.0
Query 9,2,20.0,-64.0
Query 10,2,20.0,-99.0
Query 11,5,50.0,-0.30000000000000004
Query 12,1,10.0,1
Query 13,5,50.0,-1.2000000000000002
Query 14,4,40.0,-3.9000000000000004
Query 15,1,10.0,0
Query 16,0,0.0,0
Query 17,2,20.0,-79.0
Query 18,0,0.0,0
Query 19,3,30.0,-5.5
Query 20,4,40.0,-0.30000000000000004
Query 21,1,10.0,0
Query 22,0,0.0,0
Query 23,3,30.0,-9.25
Query 24,0,0.0,0
Query 25,2,20.0,-19.0
Query 26,6,60.0,-0.08571428571428563
Query 27,1,10.0,0
Query 28,4,40.0,-0.19999999999999996
Query 29,2,20.0,-16.0
Query 30,1,10.0,0
Query 31,3,30.0,-1.25
Query 32,1,10.0,0
Query 33,3,30.0,-10.25
Query 34,1,10.0,0
Query 35,1,10.0,0
Query 36,2,20.0,-64.0
Query 37,4,40.0,-3.2
Query 38,3,30.0,-7.25
Query 39,2,20.0,-16.0
Query 40,1,10.0,0
Query 41,3,30.0,-6.25
Query 42,2,20.0,-9.0
Query 43,4,40.0,-3.5999999999999996
Query 44,2,20.0,-49.0
Query 45,0,0.0,0
Query 46,2,20.0,-9.0
Query 47,0,0.0,0
Query 48,2,20.0,-9.0
Query 49,0,0.0,0
Query 50,2,20.0,-51.0
Query 51,4,40.0,-4.1
Query 52,2,20.0,-1.0
Query 53,3,30.0,-0.5
Query 54,1,10.0,0
Query 55,2,20.0,-17.0
Query 56,2,20.0,-25.0
Query 57,1,10.0,0
Query 58,0,0.0,0
Query 59,1,10.0,0
Query 60,0,0.0,0
Query 61,1,10.0,0
Query 62,4,40.0,-5.2
Query 63,1,10.0,0
Query 64,3,30.0,-25.0
Query 65,3,30.0,-14.25
Query 66,2,20.0,-24.0
Query 67,1,10.0,0
Query 68,2,20.0,0.0
Query 69,1,10.0,0
Query 70,2,20.0,0.0
Query 71,1,10.0,0
Query 72,2,20.0,-3.0
Query 73,1,10.0,0
Query 74,1,10.0,0
Query 75,3,30.0,-12.0
Query 76,2,20.0,-19.0
Query 77,3,30.0,-5.5
Query 78,1,10.0,0
Query 79,0,0.0,0
Query 80,2,20.0,-64.0
Query 81,4,40.0,0.6
Query 82,1,10.0,0
Query 83,4,40.0,-1.0
Query 84,2,20.0,-9.0
Query 85,3,30.0,-12.5
Query 86,3,30.0,-21.25
Query 87,3,30.0,-1.75
Query 88,2,20.0,-39.0
Query 89,4,40.0,-3.4000000000000004
Query 90,3,30.0,-3.5
Query 91,3,30.0,-6.25
Query 92,0,0.0,0
Query 93,3,30.0,-3.5
Query 94,3,30.0,-14.25
Query 95,0,0.0,0
Query 96,2,20.0,-4.0
Query 97,2,20.0,-17.0
Query 98,1,10.0,0
Query 99,1,10.0,0
Query 100,3,30.0,-15.25
Averages,2.08,20.8,-10.092785714285714
